user_id,cosmetic_id,rating
9,2,1.7
10,2,1.7
13,2,2.8
39,2,4.5
50,2,2.4
13,4,3.2
40,4,2
45,4,4.7
3,5,3.4
11,5,2.1
14,5,4.8
17,5,1.9
26,5,4.1
40,5,1.1
3,6,2.7
4,6,3.9
38,6,1.4
45,6,3.1
8,7,1.7
28,7,3.8
23,8,2.6
39,8,4.3
49,8,2.7
10,9,1.3
13,10,4.1
24,10,2.2
28,10,1
22,11,4.6
17,12,3.3
31,12,0.8
35,12,3
48,13,3
50,13,4.5
24,14,1.1
35,14,2.1
47,14,2.2
33,15,3.2
37,15,4.3
2,16,4.8
20,16,0.8
44,16,5
45,16,3.6
34,17,4.9
7,18,0.9
6,19,0.2
7,20,0.4
7,21,1.5
37,21,3.2
42,21,1.1
11,22,2.5
12,22,0.7
19,22,3.5
39,23,1.4
47,23,0.7
1,24,2.9
37,24,0.3
2,25,2.5
12,25,1.2
25,25,1.5
40,25,3.3
2,26,1
10,26,4.5
49,26,3.8
27,27,1
49,27,4.9
2,29,4
8,29,4.5
17,29,0.9
33,29,1.9
38,29,3.1
40,29,1.8
43,29,2.8
45,29,1.3
3,31,2.3
29,31,0.7
2,32,0.1
6,32,0.6
13,32,4.2
40,32,1.4
1,33,4.1
42,33,2.3
44,33,2.5
48,33,3.2
6,34,3.1
24,34,3.9
30,34,1.6
41,34,0.6
7,35,0.8
21,35,4.6
27,35,3.1
7,36,2.7
15,36,2.8
36,36,1.2
35,37,1
37,37,2.1
17,39,3.9
34,39,0.9
36,39,2.4
29,40,1.7
49,40,4
24,41,3.8
26,41,2.3
12,42,2.8
13,42,3.1
36,42,0.2
49,42,2.8
20,43,0.8
48,43,1
6,44,5
13,44,4
14,44,2.2
27,44,4.4
18,45,3.6
43,45,2.9
47,45,0.7
12,46,1.4
29,46,0.1
45,46,2
5,47,1.5
50,47,4.4
20,48,1.5
43,48,1.7
30,50,2.9
42,50,3.1
23,51,3.2
36,51,2.1
40,51,4.3
24,52,0.3
1,53,0.4
3,53,2.5
16,53,3.3
37,53,2
23,55,3.3
27,55,4.3
36,55,2.5
1,56,4.1
9,56,0.9
41,56,3.8
46,56,1.7
41,58,4.2
46,58,1
6,59,3.6
22,59,4.3
24,59,4.3
34,60,1.2
40,60,4.6
4,61,3.5
7,61,3.8
20,61,2.1
32,61,4
13,62,1.2
30,62,0.2
2,63,3.5
39,63,0.7
6,64,0.4
15,64,4.6
26,64,4.3
35,64,0
40,64,0.8
43,64,3.1
46,64,0.2
48,64,1.1
49,64,3.9
8,65,3.6
21,65,3.8
26,65,1.9
31,65,3.2
37,65,3.3
48,65,4.3
50,65,1.3
18,67,2.8
20,67,4.9
21,68,4.5
42,68,4.5
8,69,4.3
12,69,1.3
19,69,1.9
14,70,0.7
12,71,4.2
13,71,4.5
22,71,0.6
25,71,3.7
30,72,3
2,73,3.9
6,73,0.9
16,73,2.1
14,74,2.6
15,74,0.2
48,74,1.8
19,75,2.5
31,75,1.1
11,76,1.5
18,77,2.8
28,77,3
14,79,0.9
41,79,1.4
44,79,3
11,80,0
18,80,2.7
31,81,1.2
36,81,3.9
39,81,5
19,82,4.2
36,82,2.2
37,82,4.3
47,82,1.4
30,83,0.1
30,84,1.6
22,85,1.4
43,85,2.2
22,86,0.6
14,87,1
24,88,0.1
48,88,5
44,89,0.4
6,90,2.8
26,90,0.1
46,90,2.1
33,91,3.1
8,92,2.9
26,92,4.1
35,92,3.7
2,93,4.5
17,93,0
17,94,3.6
16,95,2.7
33,96,3.6
48,96,0.7
35,97,4.8
18,98,1.8
25,98,2.4
39,98,3.5
43,98,0.7
47,99,4.8
0,100,3.3
5,100,1.1
9,100,4.6
30,100,4.1
40,100,0.3
18,101,4.8
28,101,2.5
30,101,3.1
34,101,3.8
37,101,0.5
46,101,2.9
21,102,0.7
30,102,4.1
44,102,1.3
46,102,0.4
3,103,4.1
28,103,0.9
9,104,0.1
19,104,4.7
33,104,2.8
36,104,0.7
23,105,3.1
30,105,2.6
31,105,2.7
11,106,1.9
19,106,3
22,106,2.1
29,106,0.3
22,107,0
36,108,4.6
16,109,0.7
32,109,0.6
36,109,0
28,110,4.9
22,111,4.1
47,111,0.5
16,112,3.6
19,113,3.5
21,113,3.6
24,113,1.7
37,113,4.8
22,114,4.9
15,115,1.9
21,115,4.7
31,115,1.7
18,116,3.6
20,116,1
37,116,0.6
46,116,1.9
17,117,5
19,117,4.2
30,117,3.6
44,117,1.9
8,118,2.1
14,118,4.3
37,118,4.9
40,118,1.4
45,118,0
49,118,0.7
29,119,1.1
34,119,2.1
40,119,0.1
45,119,3.8
40,120,0.9